subset,class,source,group,file,orig,w,h,text_frac_small,text_density
cover,japanese,acn_manga,ajin,cover/japanese/acn_manga__ajin__ajin-474.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\ajin-474.jpg,190,247,0.1331,9567.4
cover,japanese,acn_manga,akame-ga-kiru,cover/japanese/acn_manga__akame-ga-kiru__akame-ga-kiru-1304.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\akame-ga-kiru-1304.jpg,190,247,0.0228,3494.6
cover,japanese,acn_manga,akumetsu,cover/japanese/acn_manga__akumetsu__akumetsu-638.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\akumetsu-638.jpg,190,247,0.0375,3451.9
cover,japanese,acn_manga,amagami-san-chi-no-enmusubi,cover/japanese/acn_manga__amagami-san-chi-no-enmusubi__amagami-san-chi-no-enmusubi-11324.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\amagami-san-chi-no-enmusubi-11324.jpg,190,247,0.0639,5710.6
cover,japanese,acn_manga,angel-densetsu,cover/japanese/acn_manga__angel-densetsu__angel-densetsu-2012.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\angel-densetsu-2012.jpg,190,247,0.0442,2514.4
cover,japanese,acn_manga,anh-hung-manh-nhat-lich-su-chuyen-sinh-va-vo-tinh-tro-nen-vo-dich-o-hoc-vien,cover/japanese/acn_manga__anh-hung-manh-nhat-lich-su-chuyen-sinh-va-vo-tinh-tro-nen-vo-dich-o-hoc-vien__anh-hung-ma__844ace93be.jpg,chauaoe999\Comic_classification_by_Country\manga\anh-hung-manh-nhat-lich-su-chuyen-sinh-va-vo-tinh-tro-nen-vo-dich-o-hoc-vien-12130.jpg,190,247,0.0394,4091.2
cover,japanese,acn_manga,anh-hung-manh-nhat-tro-ve-the-gioi-hien-dai,cover/japanese/acn_manga__anh-hung-manh-nhat-tro-ve-the-gioi-hien-dai__anh-hung-manh-nhat-tro-ve-the-gioi-hien-dai-6975.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\anh-hung-manh-nhat-tro-ve-the-gioi-hien-dai-6975.jpg,190,247,0.0565,5327.1
cover,japanese,acn_manga,anh-nghi-chi-can-chuyen-sinh-la-thoat-duoc-em-sao-anh-hai,cover/japanese/acn_manga__anh-nghi-chi-can-chuyen-sinh-la-thoat-duoc-em-sao-anh-hai__anh-nghi-chi-can-chuyen-sinh-l__797bc7c329.jpg,chauaoe999\Comic_classification_by_Country\manga\anh-nghi-chi-can-chuyen-sinh-la-thoat-duoc-em-sao-anh-hai-10530.jpg,190,247,0.0635,4304.3
cover,japanese,acn_manga,anh-sang-cuoi-con-duong,cover/japanese/acn_manga__anh-sang-cuoi-con-duong__anh-sang-cuoi-con-duong-6799.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\anh-sang-cuoi-con-duong-6799.jpg,190,247,0.0284,2003.0
cover,japanese,acn_manga,area-no-kishi,cover/japanese/acn_manga__area-no-kishi__area-no-kishi-509.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\area-no-kishi-509.jpg,190,247,0.039,4517.4
cover,japanese,acn_manga,arifureta-shokugyou-de-sekai-saikyou,cover/japanese/acn_manga__arifureta-shokugyou-de-sekai-saikyou__arifureta-shokugyou-de-sekai-saikyou-2730.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\arifureta-shokugyou-de-sekai-saikyou-2730.jpg,190,247,0.0394,2343.9
cover,japanese,acn_manga,arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga,cover/japanese/acn_manga__arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga__arya-ban-ben-thinh-thoang-lai__19de7f71fc.jpg,chauaoe999\Comic_classification_by_Country\manga\arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga-13220.jpg,190,247,0.0453,3132.3
cover,japanese,acn_manga,assassins-pride,cover/japanese/acn_manga__assassins-pride__assassins-pride-4868.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\assassins-pride-4868.jpg,190,247,0.0254,4346.9
cover,japanese,acn_manga,au-nu-chien-ky,cover/japanese/acn_manga__au-nu-chien-ky__au-nu-chien-ky-2323.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\au-nu-chien-ky-2323.jpg,190,247,0.0447,4687.8
cover,japanese,acn_manga,ba-chi-em-nha-mikadono-de-doi-pho-that-day,cover/japanese/acn_manga__ba-chi-em-nha-mikadono-de-doi-pho-that-day__ba-chi-em-nha-mikadono-de-doi-pho-that-day-12985.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\ba-chi-em-nha-mikadono-de-doi-pho-that-day-12985.jpg,190,247,0.0439,3260.2
cover,japanese,acn_manga,baki-dou-2018,cover/japanese/acn_manga__baki-dou-2018__baki-dou-2018-6321.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\baki-dou-2018-6321.jpg,190,247,0.0502,5540.2
cover,japanese,acn_manga,baki-dou,cover/japanese/acn_manga__baki-dou__baki-dou-5546.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\baki-dou-5546.jpg,190,247,0.02,2173.4
cover,japanese,acn_manga,baki-son-of-ogre,cover/japanese/acn_manga__baki-son-of-ogre__baki-son-of-ogre-1744.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\baki-son-of-ogre-1744.jpg,190,247,0.0247,2876.6
cover,japanese,acn_manga,ban-gai-chung-nha,cover/japanese/acn_manga__ban-gai-chung-nha__ban-gai-chung-nha-4073.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\ban-gai-chung-nha-4073.jpg,190,247,0.0646,5135.3
cover,japanese,acn_manga,ban-gai-nguoi-ta,cover/japanese/acn_manga__ban-gai-nguoi-ta__ban-gai-nguoi-ta-13161.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\ban-gai-nguoi-ta-13161.jpg,190,247,0.0431,3643.7
cover,japanese,acn_manga,ban-gai-toi-la-sat-thu,cover/japanese/acn_manga__ban-gai-toi-la-sat-thu__ban-gai-toi-la-sat-thu-879.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\ban-gai-toi-la-sat-thu-879.jpg,190,247,0.0098,1321.1
cover,japanese,acn_manga,ban-hoc-bi-an,cover/japanese/acn_manga__ban-hoc-bi-an__ban-hoc-bi-an-1251.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\ban-hoc-bi-an-1251.jpg,190,247,0.0216,1832.5
cover,japanese,acn_manga,ban-nhac-cua-ke-di-dao-dem,cover/japanese/acn_manga__ban-nhac-cua-ke-di-dao-dem__ban-nhac-cua-ke-di-dao-dem-8171.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\ban-nhac-cua-ke-di-dao-dem-8171.jpg,190,247,0.042,5007.5
cover,japanese,acn_manga,bang-xep-hang-vua,cover/japanese/acn_manga__bang-xep-hang-vua__bang-xep-hang-vua-13656.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\bang-xep-hang-vua-13656.jpg,190,247,0.0657,4410.8
cover,japanese,acn_manga,bastard-dua-con-cua-quy,cover/japanese/acn_manga__bastard-dua-con-cua-quy__bastard-dua-con-cua-quy-763.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\bastard-dua-con-cua-quy-763.jpg,190,247,0.0133,1512.9
cover,japanese,acn_manga,bay-thu-mat-nguoi,cover/japanese/acn_manga__bay-thu-mat-nguoi__bay-thu-mat-nguoi-7111.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\bay-thu-mat-nguoi-7111.jpg,190,247,0.0333,4069.9
cover,japanese,acn_manga,be-blues-ao-ni-nare,cover/japanese/acn_manga__be-blues-ao-ni-nare__be-blues-ao-ni-nare-10434.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\be-blues-ao-ni-nare-10434.jpg,190,247,0.0196,2045.6
cover,japanese,acn_manga,beelzebub,cover/japanese/acn_manga__beelzebub__beelzebub-224.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\beelzebub-224.jpg,190,247,0.0212,2407.8
cover,japanese,acn_manga,berserk-of-gluttony,cover/japanese/acn_manga__berserk-of-gluttony__berserk-of-gluttony-16154.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\berserk-of-gluttony-16154.jpg,450,640,0.1921,651.2
cover,japanese,acn_manga,berserk-of-gluttony,cover/japanese/acn_manga__berserk-of-gluttony__berserk-of-gluttony-4268.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\berserk-of-gluttony-4268.jpg,190,247,0.0443,5838.5
cover,japanese,acn_manga,bi-mat-cua-co-vo-gyaru,cover/japanese/acn_manga__bi-mat-cua-co-vo-gyaru__bi-mat-cua-co-vo-gyaru-14911.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\bi-mat-cua-co-vo-gyaru-14911.jpg,190,247,0.035,2855.3
cover,japanese,acn_manga,bi-ngo-cuong-sat,cover/japanese/acn_manga__bi-ngo-cuong-sat__bi-ngo-cuong-sat-4417.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\bi-ngo-cuong-sat-4417.jpg,190,247,0.0374,6307.3
cover,japanese,acn_manga,bi-phan-boi-boi-dong-doi-va-so-huu-gacha-khong-gioi-han-lv-9999,cover/japanese/acn_manga__bi-phan-boi-boi-dong-doi-va-so-huu-gacha-khong-gioi-han-lv-9999__bi-phan-boi-boi-dong-doi__6d6051a20f.jpg,chauaoe999\Comic_classification_by_Country\manga\bi-phan-boi-boi-dong-doi-va-so-huu-gacha-khong-gioi-han-lv-9999-11318.jpg,190,247,0.0458,4496.1
cover,japanese,acn_manga,bi-thieu-rui-boi-ngon-lua-dia-nguc-hoi-sinh-voi-tu-cach-hoa-thuat-su-manh-nhat,cover/japanese/acn_manga__bi-thieu-rui-boi-ngon-lua-dia-nguc-hoi-sinh-voi-tu-cach-hoa-thuat-su-manh-nhat__bi-thieu-__1de0f826c2.jpg,chauaoe999\Comic_classification_by_Country\manga\bi-thieu-rui-boi-ngon-lua-dia-nguc-hoi-sinh-voi-tu-cach-hoa-thuat-su-manh-nhat-10994.jpg,190,247,0.0365,3942.0
cover,japanese,acn_manga,biet-doi-linh-cuu-hoa,cover/japanese/acn_manga__biet-doi-linh-cuu-hoa__biet-doi-linh-cuu-hoa-804.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\biet-doi-linh-cuu-hoa-804.jpg,190,247,0.03,2620.9
cover,japanese,acn_manga,black-clover-the-gioi-phep-thuat,cover/japanese/acn_manga__black-clover-the-gioi-phep-thuat__black-clover-the-gioi-phep-thuat-499.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\black-clover-the-gioi-phep-thuat-499.jpg,190,247,0.0285,4304.3
cover,japanese,acn_manga,black-haze,cover/japanese/acn_manga__black-haze__black-haze-277.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\black-haze-277.jpg,190,247,0.0241,2045.6
cover,japanese,acn_manga,black-jack,cover/japanese/acn_manga__black-jack__black-jack-1737.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\black-jack-1737.jpg,190,247,0.0235,2620.9
cover,japanese,acn_manga,blue-archive-global,cover/japanese/acn_manga__blue-archive-global__blue-archive-global-15549.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\blue-archive-global-15549.jpg,190,247,0.0256,3430.6
cover,japanese,acn_manga,blue-box,cover/japanese/acn_manga__blue-box__blue-box-11258.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\blue-box-11258.jpg,190,247,0.081,6903.9
cover,japanese,acn_manga,blue-lock,cover/japanese/acn_manga__blue-lock__blue-lock-7120.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\blue-lock-7120.jpg,190,247,0.0126,1662.0
cover,japanese,acn_manga,blue-period,cover/japanese/acn_manga__blue-period__blue-period-7152.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\blue-period-7152.jpg,190,247,0.0455,4687.8
cover,japanese,acn_manga,bo-vo-song,cover/japanese/acn_manga__bo-vo-song__bo-vo-song-5320.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\bo-vo-song-5320.jpg,190,247,0.0612,4432.1
cover,japanese,acn_manga,boi-vi-chung-ta-deu-la-nhung-ngoi-sao,cover/japanese/acn_manga__boi-vi-chung-ta-deu-la-nhung-ngoi-sao__boi-vi-chung-ta-deu-la-nhung-ngoi-sao-7676.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\boi-vi-chung-ta-deu-la-nhung-ngoi-sao-7676.jpg,190,247,0.0088,1449.0
cover,japanese,acn_manga,boku-no-kanojo-ga-majime-sugiru-shojo-bitch-na-ken,cover/japanese/acn_manga__boku-no-kanojo-ga-majime-sugiru-shojo-bitch-na-ken__boku-no-kanojo-ga-majime-sugiru-shojo__571df8366f.jpg,chauaoe999\Comic_classification_by_Country\manga\boku-no-kanojo-ga-majime-sugiru-shojo-bitch-na-ken-7563.jpg,190,247,0.0371,3920.7
cover,japanese,acn_manga,boku-no-kokoro-yabai-yatsu,cover/japanese/acn_manga__boku-no-kokoro-yabai-yatsu__boku-no-kokoro-yabai-yatsu-7017.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\boku-no-kokoro-yabai-yatsu-7017.jpg,190,247,0.0371,4709.1
cover,japanese,acn_manga,bokura-wa-minna-kawaisou,cover/japanese/acn_manga__bokura-wa-minna-kawaisou__bokura-wa-minna-kawaisou-3509.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\bokura-wa-minna-kawaisou-3509.jpg,190,247,0.0303,3132.3
cover,japanese,acn_manga,brutal-satsujin-kansatsukan-no-kokuhaku,cover/japanese/acn_manga__brutal-satsujin-kansatsukan-no-kokuhaku__brutal-satsujin-kansatsukan-no-kokuhaku-9797.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\brutal-satsujin-kansatsukan-no-kokuhaku-9797.jpg,190,247,0.012,2066.9
cover,japanese,acn_manga,cage-of-eden,cover/japanese/acn_manga__cage-of-eden__cage-of-eden-506.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\cage-of-eden-506.jpg,190,247,0.029,3622.4
cover,japanese,acn_manga,canh-hoa-ve-luan-hoi,cover/japanese/acn_manga__canh-hoa-ve-luan-hoi__canh-hoa-ve-luan-hoi-6354.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\canh-hoa-ve-luan-hoi-6354.jpg,190,247,0.032,2834.0
cover,japanese,acn_manga,cao-thu-bong-ro-remake,cover/japanese/acn_manga__cao-thu-bong-ro-remake__cao-thu-bong-ro-remake-14065.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\cao-thu-bong-ro-remake-14065.jpg,190,247,0.0236,2557.0
cover,japanese,acn_manga,cau-lac-bo-nhung-ke-mat-ngu,cover/japanese/acn_manga__cau-lac-bo-nhung-ke-mat-ngu__cau-lac-bo-nhung-ke-mat-ngu-9753.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\cau-lac-bo-nhung-ke-mat-ngu-9753.jpg,190,247,0.055,7777.5
cover,japanese,acn_manga,centuria,cover/japanese/acn_manga__centuria__centuria-15640.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\centuria-15640.jpg,190,247,0.0555,5050.1
cover,japanese,acn_manga,chainsawman-phan-2,cover/japanese/acn_manga__chainsawman-phan-2__chainsawman-phan-2-12895.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chainsawman-phan-2-12895.jpg,190,247,0.0106,1385.0
cover,japanese,acn_manga,chang-bang-gia-va-nang-lanh-lung,cover/japanese/acn_manga__chang-bang-gia-va-nang-lanh-lung__chang-bang-gia-va-nang-lanh-lung-7076.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chang-bang-gia-va-nang-lanh-lung-7076.jpg,190,247,0.0457,3004.5
cover,japanese,acn_manga,chang-quan-gia,cover/japanese/acn_manga__chang-quan-gia__chang-quan-gia-457.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chang-quan-gia-457.jpg,190,247,0.0166,1619.4
cover,japanese,acn_manga,chao-mung-cau-den-truong-iruma-kun,cover/japanese/acn_manga__chao-mung-cau-den-truong-iruma-kun__chao-mung-cau-den-truong-iruma-kun-3188.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chao-mung-cau-den-truong-iruma-kun-3188.jpg,190,247,0.0559,9993.6
cover,japanese,acn_manga,chao-mung-den-voi-lop-hoc-thuong-dang,cover/japanese/acn_manga__chao-mung-den-voi-lop-hoc-thuong-dang__chao-mung-den-voi-lop-hoc-thuong-dang-5409.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chao-mung-den-voi-lop-hoc-thuong-dang-5409.jpg,190,247,0.048,5604.1
cover,japanese,acn_manga,chau-trai-cua-hien-nhan,cover/japanese/acn_manga__chau-trai-cua-hien-nhan__chau-trai-cua-hien-nhan-3115.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chau-trai-cua-hien-nhan-3115.jpg,190,247,0.0319,3835.5
cover,japanese,acn_manga,chi-gai-nuoi-nam-sinh-trung-hoc,cover/japanese/acn_manga__chi-gai-nuoi-nam-sinh-trung-hoc__chi-gai-nuoi-nam-sinh-trung-hoc-5896.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chi-gai-nuoi-nam-sinh-trung-hoc-5896.jpg,190,247,0.0317,2706.2
cover,japanese,acn_manga,chien-doi-dai-that-cach,cover/japanese/acn_manga__chien-doi-dai-that-cach__chien-doi-dai-that-cach-10941.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chien-doi-dai-that-cach-10941.jpg,190,247,0.0326,5199.2
cover,japanese,acn_manga,chillin-different-world-life-of-the-ex-brave-candidate-was-cheat-from-lv2,cover/japanese/acn_manga__chillin-different-world-life-of-the-ex-brave-candidate-was-cheat-from-lv2__chillin-differ__ce9fa558ff.jpg,chauaoe999\Comic_classification_by_Country\manga\chillin-different-world-life-of-the-ex-brave-candidate-was-cheat-from-lv2-7863.jpg,190,247,0.0321,3388.0
cover,japanese,acn_manga,chounin-a-wa-akuyaku-reijou-wo-doushite-mo-sukuitai,cover/japanese/acn_manga__chounin-a-wa-akuyaku-reijou-wo-doushite-mo-sukuitai__chounin-a-wa-akuyaku-reijou-wo-doush__be185b4ea2.jpg,chauaoe999\Comic_classification_by_Country\manga\chounin-a-wa-akuyaku-reijou-wo-doushite-mo-sukuitai-14865.jpg,190,247,0.0324,4069.9
cover,japanese,acn_manga,chu-meo-ky-dieu-kyuu-chan,cover/japanese/acn_manga__chu-meo-ky-dieu-kyuu-chan__chu-meo-ky-dieu-kyuu-chan-5611.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chu-meo-ky-dieu-kyuu-chan-5611.jpg,190,247,0.0437,980.2
cover,japanese,acn_manga,chu-toi-o-di-gioi,cover/japanese/acn_manga__chu-toi-o-di-gioi__chu-toi-o-di-gioi-7603.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chu-toi-o-di-gioi-7603.jpg,190,247,0.0298,3856.8
cover,japanese,acn_manga,chuc-nghiep-tham-dinh-khong-thuan-loi-nhung-thuc-ra-lai-la-ke-manh-nhat,cover/japanese/acn_manga__chuc-nghiep-tham-dinh-khong-thuan-loi-nhung-thuc-ra-lai-la-ke-manh-nhat__chuc-nghiep-tham__fcd08d9bd5.jpg,chauaoe999\Comic_classification_by_Country\manga\chuc-nghiep-tham-dinh-khong-thuan-loi-nhung-thuc-ra-lai-la-ke-manh-nhat-11715.jpg,190,247,0.068,6051.6
cover,japanese,acn_manga,chung-chi-thoi-ma-su--ender-geister,cover/japanese/acn_manga__chung-chi-thoi-ma-su--ender-geister__chung-chi-thoi-ma-su--ender-geister-17757.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chung-chi-thoi-ma-su--ender-geister-17757.jpg,190,247,0.028,2748.8
cover,japanese,acn_manga,chung-ta-khong-the-hoc,cover/japanese/acn_manga__chung-ta-khong-the-hoc__chung-ta-khong-the-hoc-3029.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chung-ta-khong-the-hoc-3029.jpg,190,247,0.0258,2322.6
cover,japanese,acn_manga,chung-ta-song-chung-voi-nhau-di,cover/japanese/acn_manga__chung-ta-song-chung-voi-nhau-di__chung-ta-song-chung-voi-nhau-di-15162.png.jpg,chauaoe999\Comic_classification_by_Country\manga\chung-ta-song-chung-voi-nhau-di-15162.png,190,247,0.0706,5987.6
cover,japanese,acn_manga,chung-toi-da-lam-duoc-roi,cover/japanese/acn_manga__chung-toi-da-lam-duoc-roi__chung-toi-da-lam-duoc-roi-15571.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chung-toi-da-lam-duoc-roi-15571.jpg,190,247,0.0276,873.6
cover,japanese,acn_manga,chuyen-sinh-cung-chiec-smartphone,cover/japanese/acn_manga__chuyen-sinh-cung-chiec-smartphone__chuyen-sinh-cung-chiec-smartphone-3745.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chuyen-sinh-cung-chiec-smartphone-3745.jpg,190,247,0.0321,2855.3
cover,japanese,acn_manga,chuyen-sinh-khong-nghe-nghiep-toi-se-co-gang-het-suc-neu-toi-den-the-gioi-khac,cover/japanese/acn_manga__chuyen-sinh-khong-nghe-nghiep-toi-se-co-gang-het-suc-neu-toi-den-the-gioi-khac__chuyen-si__5690162a0b.jpg,chauaoe999\Comic_classification_by_Country\manga\chuyen-sinh-khong-nghe-nghiep-toi-se-co-gang-het-suc-neu-toi-den-the-gioi-khac-642.jpg,190,247,0.0356,3665.0
cover,japanese,acn_manga,chuyen-sinh-lam-boss-trung-cap,cover/japanese/acn_manga__chuyen-sinh-lam-boss-trung-cap__chuyen-sinh-lam-boss-trung-cap-16879.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chuyen-sinh-lam-boss-trung-cap-16879.jpg,450,640,0.1594,1780.6
cover,japanese,acn_manga,chuyen-sinh-thanh-con-gai-toi-se-sinh-ton-tai-di-gioi,cover/japanese/acn_manga__chuyen-sinh-thanh-con-gai-toi-se-sinh-ton-tai-di-gioi__chuyen-sinh-thanh-con-gai-toi-se-s__65d8961233.jpg,chauaoe999\Comic_classification_by_Country\manga\chuyen-sinh-thanh-con-gai-toi-se-sinh-ton-tai-di-gioi-11478.jpg,190,247,0.0422,3984.7
cover,japanese,acn_manga,chuyen-sinh-thanh-kiem,cover/japanese/acn_manga__chuyen-sinh-thanh-kiem__chuyen-sinh-thanh-kiem-3977.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chuyen-sinh-thanh-kiem-3977.jpg,190,247,0.0386,3068.4
cover,japanese,acn_manga,chuyen-sinh-thanh-that-hoang-tu,cover/japanese/acn_manga__chuyen-sinh-thanh-that-hoang-tu__chuyen-sinh-thanh-that-hoang-tu-11230.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\chuyen-sinh-thanh-that-hoang-tu-11230.jpg,190,247,0.0497,3643.7
cover,japanese,acn_manga,chuyen-tinh-thanh-xuan-bi-hai-cua-toi-qua-nhien-la-sai-lam,cover/japanese/acn_manga__chuyen-tinh-thanh-xuan-bi-hai-cua-toi-qua-nhien-la-sai-lam__chuyen-tinh-thanh-xuan-bi-hai__54ca209a60.jpg,chauaoe999\Comic_classification_by_Country\manga\chuyen-tinh-thanh-xuan-bi-hai-cua-toi-qua-nhien-la-sai-lam-7018.jpg,190,247,0.0271,1853.8
cover,japanese,acn_manga,class-ga-isekai-shoukan-sareta-naka-ore-dake-nokotta-n-desu-ga,cover/japanese/acn_manga__class-ga-isekai-shoukan-sareta-naka-ore-dake-nokotta-n-desu-ga__class-ga-isekai-shoukan-s__076a7aa4ec.jpg,chauaoe999\Comic_classification_by_Country\manga\class-ga-isekai-shoukan-sareta-naka-ore-dake-nokotta-n-desu-ga-3855.jpg,190,247,0.0456,3814.2
cover,japanese,acn_manga,clover,cover/japanese/acn_manga__clover__clover-607.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\clover-607.jpg,190,247,0.0198,1576.8
cover,japanese,acn_manga,clover-tetsuhiro-hirakawa,cover/japanese/acn_manga__clover-tetsuhiro-hirakawa__clover-tetsuhiro-hirakawa-11138.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\clover-tetsuhiro-hirakawa-11138.jpg,190,247,0.0191,1747.3
cover,japanese,acn_manga,co-ban-gai-ma-minh-thich-lai-quen-mang-kinh-mat-roi,cover/japanese/acn_manga__co-ban-gai-ma-minh-thich-lai-quen-mang-kinh-mat-roi__co-ban-gai-ma-minh-thich-lai-quen-ma__1f8b867bac.jpg,chauaoe999\Comic_classification_by_Country\manga\co-ban-gai-ma-minh-thich-lai-quen-mang-kinh-mat-roi-7134.jpg,190,247,0.0347,3558.5
